player_name,position,team,blended_ppg,shrunk_ppg,total_games
Devon Allen,WR,PHI,0.0,4.162424740704611,1
Tyrion Davis-Price,RB,PHI,1.2600000000000002,4.149003885551299,2
Willie Snead,WR,SF,1.7,4.067121648116535,2
Malik Taylor,WR,NYJ,1.6500000000000004,4.054621648116535,2
Grant DuBose,WR,MIA,1.5499999999999998,4.029621648116534,2
Trishton Jackson,WR,MIN,1.4500000000000002,4.004621648116535,2
Josh Williams,RB,TB,0.55,3.971503885551299,2
Jalen Royals,WR,KC,1.2,3.9421216481165344,2
Owen Wright,RB,TB,0.3,3.909003885551299,2
Troy Hairston,RB,HOU,0.0,3.834003885551299,2
Antoine Green,WR,DET,0.6,3.7921216481165354,2
Tyreik McAllister,WR,LV,0.55,3.779621648116535,2
Malik Cunningham,WR,DET,0.0714285714285714,3.659978790973677,2
Kaden Davis,WR,CLE,0.0,3.642121648116535,2
Phillip Dorsett,WR,DEN,0.0,3.642121648116535,2
Maurice Alexander,WR,DET,0.0,3.642121648116535,2
Dominic Lovett,WR,DET,0.0,3.642121648116535,2
Malik Turner,WR,SF,0.0,3.642121648116535,2
Kearis Jackson,WR,TEN,0.0,3.642121648116535,2
Jalen Moreno-Cropper,WR,DAL,0.0,3.642121648116535,2
Coleman Owen,WR,IND,0.0,3.642121648116535,2
Nick Muse,TE,MIN,3.2000000000000006,3.618094033969454,1
Moliki Matavao,TE,NO,3.0,3.589522605398025,1
Cole Fotheringham,TE,LV,1.6000000000000003,3.3895226053980254,1
Drake Dabney,TE,GB,1.3,3.3466654625408827,1
David Wells,TE,TB,1.0,3.30380831968374,1
Travis Vokolek,TE,ARI,0.0,3.1609511768265968,1
Henry Pearson,TE,GB,0.0,3.1609511768265968,1
Tre' McKitty,TE,LAC,0.0,3.1609511768265968,1
Hayden Rucci,TE,MIA,0.0,3.1609511768265968,1
Tyler Kroft,TE,MIA,0.0,3.1609511768265968,1
Baylor Cupp,TE,KC,0.0,3.1609511768265968,1
Stephen Anderson,TE,LAC,0.0,3.1609511768265968,1
Parker Hesse,TE,ATL,0.0,3.1609511768265968,1
Thomas Fidone II,TE,NYG,0.0,3.1609511768265968,1
Darrell Daniels,TE,DET,0.0,3.1609511768265968,1
Sal Cannella,TE,CLE,1.55,3.1533322797232723,2
Zach Davidson,TE,BUF,0.75,2.953332279723272,2
Jelani Woods,TE,NYJ,0.7,2.940832279723272,2
Nikola Kalinic,TE,CHI,0.0,2.765832279723272,2
Princeton Fant,TE,DAL,0.0,2.765832279723272,2
Jordan Matthews,TE,CAR,0.0,2.765832279723272,2
